종목명,매출액증가율,외국인비율,PER,ROE,ROA,PBR
현대로템,10.13,10.92,12.47,14.06,4.36,1.79
이엔플러스,-51.45,8.88,-2.49,-53.0,-32.5,13.59
KTcs,6.6,7.97,9.36,9.52,4.35,0.73
한국석유,18.93,5.92,14.4,6.98,3.19,0.93
경남제약,-8.7,0.65,-8.3,-7.88,-5.03,0.74
현대무벡스,-12.34,0.7,135.6,6.57,4.29,2.64
우진비앤지,11.07,1.74,47.45,2.56,1.21,1.21
상보,-6.88,1.59,14.62,14.35,7.16,1.62
에스유홀딩스,-62.14,1.64,-2.74,-29.59,-20.55,0.8
씨씨에스,4.43,2.06,206.47,3.34,2.41,7.14
라이트론,19.07,2.23,-15.21,-1.32,-0.88,1.8
노을,-63.27,10.99,-7.75,-206.45,-59.72,28.23
KNN,1.51,0.0,19.22,3.58,3.32,0.7
랩지노믹스,-28.48,5.89,19.04,26.37,21.07,1.13
갤럭시아머니트리,18.87,1.06,79.87,4.83,1.65,2.13
아미노로직스,19.64,1.24,-12.26,-13.14,-12.05,2.35
신신제약,24.21,3.51,19.42,7.7,3.7,1.63
세종메디칼,7.01,1.36,-1.13,-224.94,-80.48,1.18
누보,19.47,0.93,-13.27,-18.64,-6.19,2.44
삼보산업,27.8,0.72,-3.69,-47.44,-3.28,3.5
위니아,-25.72,0.13,-0.37,-148.29,-9.89,-0.74
메디콕스,25.03,0.36,-0.52,-65.85,-40.03,0.5
동구바이오제약,25.68,1.16,18.36,6.54,4.05,1.48
엘컴텍,-7.98,2.47,14.0,11.43,10.35,1.56
멕아이씨에스,-41.67,2.63,-3.42,-3.86,-3.09,0.79
인바이오,2.31,0.8,-21.61,-7.15,-3.87,1.17
펩트론,-12.24,4.83,-35.7,-26.11,-20.61,14.46
실리콘투,26.16,3.09,23.79,12.21,9.85,4.56
폴라리스오피스,5.23,1.5,10.05,25.05,19.75,3.42
세니젠,6.09,0.55,-11.25,36.8,-24.65,6.99
제주반도체,-9.46,1.26,13.8,18.92,14.37,1.09
오파스넷,40.1,0.61,23.14,18.86,6.19,4.89
휴마시스,46.44,4.74,-4.23,66.56,45.19,0.91
에코플라스틱,20.03,4.63,5.19,16.62,3.16,0.94
인포마크,-23.86,0.17,-7.84,-36.59,-18.29,1.48
위더스제약,12.65,3.13,71.72,3.02,2.08,1.36
청담글로벌,49.85,0.51,87.67,10.23,6.38,2.36
씨케이에이치,-29.36,0.0,2.47,1.81,1.78,0.05
셀바스헬스케어,-4.83,2.03,80.91,8.7,5.63,3.25
모비스,29.25,2.0,-124.88,-21.81,-8.42,7.23
코리아나,-7.65,4.04,89.23,1.82,1.37,1.26
이브이첨단소재,-8.56,1.83,15.67,-17.59,-8.79,1.72
희림,4.23,3.38,18.78,11.39,3.83,1.68
